commit,sha,time,cyclo,abstract,fanout,npath
1,7e6ed0af,1276235831,0,0,0,0
2,0f3217ff,1276260806,0,0,0,0
3,be06049f,1276262257,0,0,0,0
4,bba8407f,1276262313,0,0,0,0
5,421d0414,1276262336,0,0,0,0
6,829e6d98,1276262416,0,0,0,0
7,55f640c8,1276277068,0,0,0,0
8,4ccb12cd,1276303306,0,0,0,0
9,def3f38d,1276313386,0,0,0,0
10,de444d0c,1276398942,0,0,0,0
11,14dc0399,1276399025,0,0,0,0
12,fdf40d8f,1276405884,0,0,0,0
13,0920223e,1276406004,0,0,0,0
14,dc07d70e,1276655299,0,0,0,0
15,034315ed,1276720655,0,0,0,0
16,8815dbb7,1277225339,0,0,0,0
17,a70037ec,1277258938,0,0,0,0
18,ddb60915,1277429274,0,0,0,0
19,2c8583d2,1277473814,0,0,0,0
20,cc26791c,1277863436,0,0,0,0
21,81cc2cec,1278300947,1,0,0,0
22,20acb5bc,1278554135,1,0,0,0
23,ce1ebdd0,1278555265,1,0,0,0
24,4d078d74,1278555736,1,0,0,0
25,d48ab8de,1280064973,1,0,0,0
26,3dd7ca6f,1280091071,1,0,0,0
27,ef5518e5,1280806333,1,0,0,0
28,350865c8,1280806625,1,0,0,0
29,dea8c12d,1280809201,1,0,0,0
30,21312654,1280809431,1,0,0,0
31,b4862828,1280890072,1,0,0,0
32,de107a89,1280890179,1,0,0,0
33,f53c7a1b,1280962722,1,0,0,0
34,b58ae069,1280963005,1,0,0,0
35,1df23415,1280963708,1,0,0,0
36,c4e5d0b8,1280966240,1,0,0,0
37,3af260f9,1280970660,1,0,0,0
38,01da8062,1280979306,1,0,0,0
39,56795974,1281055521,1,0,0,0
40,02c68146,1281055563,1,0,0,0
41,f629a576,1281206693,1,0,0,0
42,4c5e8d9f,1281209603,1,0,0,0
43,2a1ca391,1281214454,2,0,0,0
44,5f5a4f44,1281214488,2,0,0,0
45,a842e64f,1281214546,2,0,0,0
46,22797464,1281215046,2,0,0,0
47,111eb114,1281216471,2,0,0,0
48,bb543288,1281216882,2,0,0,0
49,84f4c450,1281220636,2,0,0,0
50,4a769791,1281223706,2,0,0,0
51,86f3cffe,1281282393,2,0,0,0
52,6d92097c,1281282895,2,0,0,0
53,bf3094f0,1281283142,2,0,0,0
54,bb5fe63b,1281284443,2,0,0,0
55,5cc2d887,1281284802,2,0,0,0
56,0453ffcd,1281284978,2,0,0,0
57,f0a426a7,1281286084,2,0,0,0
58,50405b4d,1281286425,2,0,0,0
59,69ada882,1281286761,2,0,0,0
60,2ba732c6,1281287123,2,0,0,0
61,8372092b,1281287559,2,0,0,0
62,048d87d2,1281289955,2,0,0,0
63,8d8c5131,1281291719,2,0,0,0
64,c2905409,1281293839,2,0,0,0
65,3f0ecebe,1281294453,2,0,0,0
66,ba6673fd,1282091517,2,0,0,0
67,2e3dc20c,1282619641,2,0,0,0
68,96709e0a,1282620877,3,0,0,0
69,caaf23c3,1282620940,3,0,0,0
70,d0f011aa,1282621084,3,0,0,0
71,94b7e1d5,1282655380,3,0,0,0
72,99f29abd,1282674599,3,0,0,0
73,f55deca6,1282658233,3,0,0,0
74,7c050551,1282940541,3,0,0,0
75,6a7b1db3,1283116985,3,0,0,0
76,366b2a05,1283116933,3,0,0,0
77,aa7a96d0,1283177544,3,0,0,0
78,84bde29d,1283177779,3,0,0,0
79,00dedc5f,1283521113,3,0,0,0
80,68905396,1283610594,3,0,0,0
81,71c9c35b,1283610658,3,0,0,0
82,2c41132c,1283795665,3,0,0,0
83,9fb41cfc,1283864316,3,0,0,0
84,d3be2f62,1283833457,5,0,0,0
85,e6105efd,1283887892,5,0,0,0
86,1d377288,1283890252,5,0,0,0
87,eeeef3af,1283955135,5,0,0,0
88,8c19367b,1283958475,5,0,0,0
89,8207c241,1283978365,5,0,0,0
90,395a32c2,1284034318,5,0,0,0
91,7e0c5dc4,1284055086,5,0,0,0
92,562fa70a,1284066448,5,0,0,0
93,f0f6049c,1284131118,5,0,0,0
94,9211335f,1284132369,5,1,0,0
95,de5030e1,1284131118,5,0,0,0
96,97e2a50f,1284132369,5,1,0,0
97,7c680634,1284115511,5,1,0,0
98,a614f1ff,1284116079,5,1,0,0
99,c6507e61,1284118844,5,1,0,0
100,675e2b13,1284119578,5,1,0,0
101,d4d13329,1284188046,5,1,0,0
102,a521841f,1284228938,5,1,0,0
103,b573526a,1284230916,5,1,0,0
104,aed824c9,1284287776,6,1,0,0
105,f9e7887e,1284303958,7,1,0,0
106,d61f4d79,1284368158,5,1,0,0
107,e4ee2c04,1284368882,7,1,0,0
108,baab2225,1284438659,8,1,0,1
109,411b04a1,1284438844,8,1,0,1
110,9b202c3f,1284438861,8,1,0,1
111,032fe7e1,1284457849,7,2,0,0
112,20dac7e9,1284458365,7,2,0,0
113,a8ffacd3,1284476936,8,1,0,1
114,86293609,1284484129,8,1,0,1
115,f99c4ed6,1284484231,8,1,0,1
116,703244c8,1284484317,8,2,0,1
117,708ae8a5,1284484630,8,2,0,1
118,224555af,1284493428,8,2,0,1
119,f4548807,1284493596,8,2,0,1
120,4a1d9928,1284540576,9,2,0,1
121,a9d8dfe3,1284557321,8,2,0,1
122,ed20894c,1284572495,8,2,0,1
123,59f7063b,1284572696,9,2,0,1
124,edcf7412,1284573972,9,2,0,1
125,b824da67,1284579551,9,2,0,1
126,e4d5c182,1284579679,9,2,0,1
127,3d154613,1284581844,9,2,0,1
128,1312c4d4,1284592650,9,2,0,1
129,ea784de9,1284604545,9,2,0,1
130,53efb847,1284644464,8,2,0,0
131,330135eb,1284644464,8,2,0,0
132,16a44246,1285026795,8,2,0,0
133,bdb29dec,1285164019,8,2,0,0
134,86ae05f1,1285164470,8,2,0,0
135,592bc69e,1285164483,8,2,0,0
136,6458691d,1285164549,8,2,0,0
137,9202d009,1285173711,8,2,0,0
138,3d838f00,1285174818,8,2,0,0
139,2106e82c,1285374590,8,2,0,0
