commit,sha,time,cyclo,abstract,fanout,npath
1,b6a06934,975854174,2,6,2,0
2,aac9e722,975857964,2,6,2,0
3,f36edb5d,976401255,2,6,2,0
4,de48375b,976404591,3,6,2,0
5,bc3741be,976573032,3,6,2,0
6,f268f458,976573203,3,6,2,0
7,4b1869eb,979083590,3,8,3,0
8,a8ec4efa,979169032,3,8,3,0
9,fbb9b839,979689738,3,8,3,0
10,4cf0c7d9,979689983,3,8,3,0
11,b77b7224,979776068,3,8,3,0
12,1e752dcb,979777369,3,8,3,0
13,bfc94ee7,986160135,4,8,3,0
14,04f4f319,986689122,4,8,3,0
15,538187aa,990474615,4,8,3,0
16,8076b782,990475764,4,8,3,0
17,2fd22847,994621340,4,8,3,0
18,4b4c3992,994716973,4,8,3,0
19,3216b428,994718394,4,8,3,0
20,ce0bb8f5,994719113,4,8,3,0
21,0bb3dfe2,1002051502,4,8,3,0
22,80bf2384,1003528112,4,8,3,0
23,350d4a44,1003535282,4,8,3,0
24,29416b4e,1003538867,4,8,3,0
25,88178256,1003631418,4,8,3,0
26,2bcc656e,1003681134,4,8,3,0
27,0be4c31f,1003689891,4,8,3,0
28,1ebb0155,1003785121,4,9,3,0
29,654f32b5,1003880730,4,9,3,0
30,8010c8e1,1003897247,4,9,3,0
31,d01c8286,1003897277,4,8,3,0
32,bac1a14e,1003978152,4,8,3,0
33,4a28bf95,1004220859,4,8,3,0
34,4999b515,1004384865,4,8,3,0
35,73df2e47,1004385271,4,8,3,0
36,60ff3abb,1004475866,4,8,3,0
37,16a63015,1004558074,4,8,3,0
38,f381b14b,1004665073,4,8,3,0
39,cd3f5f4c,1004799308,4,8,3,0
40,9af2e559,1005403174,4,8,3,0
41,a1fef439,1005526204,4,8,3,0
42,591fcae0,1009156759,4,8,3,0
43,a09388f3,1010424796,4,8,3,0
44,81839319,1011216905,4,8,3,0
45,a856c49f,1011217158,4,8,3,0
46,5e8bc3c9,1011217203,4,8,3,0
47,92746afa,1012938992,4,8,3,0
48,0000f685,1012939269,4,8,3,0
49,e12333b1,1012942590,4,8,3,0
50,8de968f5,1012944485,4,8,3,0
51,5b07ad19,1012945489,4,8,3,0
52,b75b4190,1013018392,4,8,3,0
53,4770bc0d,1013028139,4,8,3,0
54,6d5e6b5d,1013029921,4,8,3,0
55,e461be5a,1013038987,4,8,3,0
56,afd3f23f,1013715900,4,8,3,0
57,2e961cfe,1013720316,4,8,3,0
58,efe178a2,1013720558,4,8,3,0
59,69a8dad6,1017345969,4,8,3,0
60,0807a8cd,1017418213,4,8,4,0
61,b6a023c4,1017518688,4,8,4,0
62,86b71cb1,1017527860,4,9,4,0
63,58c50f29,1017528524,4,9,4,0
64,4cc2e3df,1017598168,4,9,4,0
65,94c8b398,1017609522,4,9,4,0
66,7d42d5ad,1017615109,4,9,4,0
67,8c46dd2f,1017701861,4,9,4,0
68,869f9ecf,1017725757,4,9,4,0
69,70566872,1018200779,4,9,4,0
70,f0f77ce5,1018201103,4,9,4,0
71,6ce5e73d,1018291259,4,9,4,0
72,d8a643fb,1018292050,4,9,4,0
73,9a866f6c,1018376882,4,9,4,0
74,9a629cbf,1018379357,4,9,4,0
75,d26e4d78,1018438151,4,9,4,0
76,4f94cdbb,1018438809,4,9,4,0
77,395b46b7,1018636770,4,9,4,0
78,3944908b,1018647374,4,10,4,0
79,80585501,1018651786,4,10,4,0
80,f7e1007f,1019865270,4,10,4,0
81,dd541a7c,1019865543,4,10,4,0
82,68287e8b,1024062913,4,10,4,0
83,eeb14df6,1024423487,4,10,4,0
84,c15ba99f,1024590746,4,10,4,0
85,2a57cc62,1024705683,5,10,4,0
86,858fe281,1024706209,5,9,4,0
87,7ab8d5e4,1024946000,5,9,4,0
88,a76e7c39,1024946554,5,9,4,0
89,15a12487,1024947386,5,9,4,0
90,0f8075ab,1024988758,5,9,4,0
91,4e8768dd,1024989498,5,9,4,0
92,a19a2d6c,1024992498,5,8,4,0
93,815f7e79,1025130815,5,8,4,0
94,e0882d4a,1025205652,5,8,4,0
95,7fef9cd8,1027560174,5,8,4,0
96,4fd2425a,1029792965,5,8,4,0
97,039f6e81,1030079156,5,8,4,0
98,ebe724e4,1030128231,5,8,4,0
99,9c83dfac,1030143880,5,8,4,0
100,c62a58a5,1030148527,5,8,4,0
101,8c1784e4,1030738905,5,8,4,0
102,e7707e88,1030791584,5,8,4,0
103,8a30e5a3,1030798078,5,8,4,0
104,a24fe64a,1030812249,5,8,4,0
105,5d0898b6,1030812512,5,8,4,0
106,819de4cc,1030832761,5,8,4,0
107,395e144b,1030832937,5,8,4,0
108,d3b3a19c,1030832992,5,8,4,0
109,f41f48d8,1030893537,5,8,4,0
110,6e918832,1030894193,5,8,4,0
111,39ed4a7c,1030894193,5,8,4,0
