commit,sha,time,cyclo,abstract,fanout,npath
1,6594b2a8,1306300681,0,0,0,0
2,0c4790da,1306302016,1,1,1,1
3,7cabedc0,1306303662,1,1,1,1
4,972a2f75,1306304722,1,1,1,1
5,62177b80,1306305343,1,1,1,1
6,739cb3ec,1307147690,1,1,1,1
7,f003d226,1323899998,1,1,1,1
8,7bb99fd0,1324343266,2,1,1,1
9,4ebac265,1327701460,2,1,1,1
10,263a22e0,1333306364,2,1,1,1
11,cdf6c305,1333306406,2,1,1,1
12,d9f5a075,1336672356,2,1,1,1
13,06396421,1343050975,0,0,0,0
14,ea63463c,1343052148,33,7,5,5
15,eba4ae53,1343052624,33,7,5,5
16,0ea4c8fc,1343053016,33,7,5,5
17,4e80e466,1343053109,33,7,5,5
18,fc01d7e5,1343054710,33,7,5,5
19,7781c070,1343055446,33,7,5,5
20,4425f3ec,1343060421,33,7,5,5
21,92845164,1343060513,33,7,5,5
22,53ef23ea,1343060850,33,7,5,5
23,7e6015ba,1343060933,33,7,5,5
24,ea19431b,1343081646,33,7,5,5
25,077ba76f,1343081720,33,7,5,5
26,0a1d49b2,1343083183,33,7,5,5
27,0b007391,1343083330,33,7,5,5
28,f984c394,1343181214,33,7,5,5
29,28518d74,1343181343,33,7,5,5
30,2b67e706,1343429964,2,1,1,1
31,08b1d7f3,1343459285,33,7,5,5
32,3608deb8,1343497991,33,7,5,5
33,e9e2f742,1343745549,1,1,1,1
34,daa9c93c,1343748736,1,1,1,1
35,ec1f3e90,1343749023,1,1,1,1
36,abb3ab4f,1343749174,1,1,1,1
37,33a0c620,1343839804,33,7,5,5
38,54439c26,1343840483,33,7,5,5
39,3ff6ca14,1343846489,33,7,5,5
40,cb31fab7,1343846709,33,7,5,5
41,b5f749f2,1343865602,1,1,1,1
42,66220f81,1343865457,34,7,5,5
43,434c4c69,1343866719,34,7,5,5
44,df2e128c,1343940009,34,7,5,5
45,d6ac2b98,1343940161,34,7,5,5
46,187d3306,1344538292,34,7,5,5
47,2a05f0e1,1344538359,34,7,5,5
48,43a332bc,1345060298,34,7,5,5
49,ec91ca01,1345060663,34,7,5,5
50,57edb21a,1345239569,1,1,1,1
51,a9686122,1345438986,1,1,1,1
52,c71fb83d,1345439035,1,1,1,1
53,88946374,1345439749,1,1,1,1
54,1742e1ee,1345439766,1,1,1,1
55,47e5ea23,1345439825,1,1,1,1
56,3748484f,1345691156,1,1,1,1
57,ede85386,1345692582,1,1,1,1
58,1c13de7a,1346869985,1,1,1,1
59,85e568e5,1348083078,34,7,5,5
60,917cffa2,1348083456,34,7,5,5
61,ac21c326,1348083611,34,7,5,5
62,faeff7f1,1348084082,34,7,5,5
63,1d57bed3,1348084720,34,7,5,5
64,1bc9e2ef,1348085374,34,7,5,6
65,19d8cf1c,1348085638,34,7,5,6
66,729e930a,1348085827,34,7,5,6
67,15940665,1348086233,34,7,5,6
68,18e203a5,1348086446,34,7,5,6
69,8d06f686,1348087728,34,8,6,6
70,51a46a4d,1348089467,34,8,6,6
71,76161928,1348089528,35,8,5,6
72,d79a5e23,1348090032,34,7,5,6
73,86c58dee,1348090127,34,8,6,6
74,e6032199,1348090135,35,9,6,6
75,00c0da5e,1348095925,35,9,6,6
76,0db286f8,1348096274,35,9,6,6
77,5aa2456a,1348171277,35,9,6,6
78,83d3e2ff,1348171465,35,9,6,6
79,b8c51dc5,1348174072,35,9,6,6
80,a40fb205,1348174466,35,9,6,6
81,5d4e9ac8,1348187473,35,9,6,6
82,7a7ad1cd,1348262887,35,9,6,6
83,37ce6611,1348338709,35,9,6,6
84,5f239296,1348517776,35,9,6,6
85,2bd54fa7,1348547687,36,9,6,6
86,b3405b09,1348549494,35,9,6,6
87,c37f520b,1348549734,35,9,6,6
88,9ecb2a88,1348550386,35,9,6,6
89,1853b5b1,1348550483,36,9,6,6
90,ac0a0b98,1348588839,36,9,6,6
91,79153102,1348589066,36,9,6,6
92,60b3a6dd,1348597765,36,10,6,6
93,0bfb8787,1348599977,36,10,6,6
94,68ebb704,1348608748,36,10,6,7
95,6ac030e6,1348609018,36,10,6,7
96,853c4012,1348675094,36,10,6,6
97,b0b1c06a,1348675279,36,10,6,6
98,1ef44259,1348684818,36,10,6,6
99,c5a270e6,1348684875,36,10,6,6
100,747da632,1348762780,36,10,6,6
101,315eac97,1348762944,36,10,6,6
102,48b087d3,1348843867,36,10,6,6
103,8fe93f33,1348844468,36,10,6,6
104,d2fc60ad,1348935553,36,10,6,6
105,277fa12c,1348948740,36,10,6,6
106,961d797e,1349021154,35,10,6,6
107,e6fa4695,1349057960,35,10,6,6
108,99fb9886,1349218306,35,10,6,6
109,757f8ede,1349501897,35,10,6,6
110,df778b7b,1349502239,35,10,6,6
111,b6e785e7,1349627114,35,10,6,6
112,51c7b6ca,1350449186,35,10,6,6
113,cbb33cbd,1351131351,35,10,6,6
114,4c39ccf9,1351134172,35,10,6,6
115,2f5e25e4,1351180993,35,10,6,6
116,f1eacbff,1351392087,35,10,6,6
117,40ff7654,1352175952,34,10,6,6
118,0ce37b70,1352178089,34,10,6,6
119,e6aee715,1352180562,34,10,6,6
120,e5b78cab,1352326692,34,10,6,6
121,21e9c839,1352326859,34,10,6,6
122,3355d0c9,1352460270,34,9,5,6
123,e8afabe1,1352586783,34,9,5,6
124,dcd8bd8e,1352658506,1,1,1,1
125,1a3817c8,1352658554,1,1,1,1
126,51e5320e,1352666750,34,9,5,6
127,6af7cd22,1352667235,34,9,5,6
128,084fa338,1352752367,35,9,5,6
129,6991363c,1352752742,35,9,5,6
130,9a1da9b4,1352794156,34,9,5,6
131,8ab9438c,1352881899,34,9,5,6
132,bbea4aaa,1354551533,34,9,5,6
133,f3d956e2,1354551588,34,9,5,6
134,04d742bd,1354846005,33,9,5,6
135,3deadab3,1354895319,33,9,5,6
136,7f7aa90b,1355606238,33,9,5,6
137,50999cce,1355608406,33,9,5,6
138,cb5a9a4e,1355609063,31,9,5,4
139,c9d18363,1355790534,31,9,5,4
140,470c7f59,1355793011,31,9,5,4
141,1a1e1b7e,1356107964,31,9,6,4
142,1c9cb2a0,1356125293,31,9,5,4
143,1ef490fe,1356127918,31,9,5,4
144,a7258910,1356148377,31,9,6,4
145,7bcdc338,1356198207,32,9,6,4
146,3d2547f1,1356201262,31,9,6,4
147,ccb887c7,1356203690,31,9,6,4
148,6579f9d9,1356203778,32,9,6,4
149,70e64037,1356217527,32,9,6,4
150,73291e89,1356298736,32,9,6,4
151,78c6624b,1356310166,32,10,6,4
152,d2f4f216,1356328049,32,10,6,4
153,67604f61,1356545715,32,10,6,4
154,d10c20a7,1356563320,32,10,6,4
155,e3b90752,1356675342,32,10,6,4
156,dca5d830,1356804613,32,10,6,4
157,e4a4cbae,1356813772,32,10,6,4
158,8b574cb4,1356816853,32,10,6,4
159,2c6be537,1356817112,32,10,6,4
160,768059cf,1356830950,32,10,6,4
161,bc342a42,1356848596,32,10,6,4
162,60d5852c,1356939149,32,10,6,4
163,a52eaa4e,1356939815,32,10,6,4
164,7f424962,1357005069,32,10,6,4
165,8c281b2f,1357005792,32,10,6,4
166,b5719b6d,1357011675,34,10,6,4
167,7b35a0d8,1357014498,34,10,6,4
168,86e5c348,1357026772,34,10,6,4
169,0c550086,1357061983,34,11,6,4
170,e9f1e3cc,1357078470,34,10,6,4
171,f740f1f9,1357086272,34,11,6,4
172,7a28500a,1357096386,34,11,6,4
173,73516e6a,1357097242,34,11,6,4
174,689f6622,1357098606,34,11,6,4
175,d64aef95,1357100433,34,11,6,4
176,43f7cae3,1357241859,34,11,6,4
177,34ea44bc,1357242610,34,11,6,4
178,06579c5b,1357420337,36,11,6,4
179,4e1dd18f,1357515212,36,11,6,4
180,b1c592d7,1358531413,36,11,6,4
181,8571b0cb,1358535649,36,11,6,4
182,1bd9fefb,1358542061,36,12,6,4
183,c37a7935,1358547298,36,12,6,4
184,b9580d68,1358613444,36,12,6,5
185,514fbfd5,1358797367,36,12,6,5
186,0d0e03b0,1358869268,1,1,1,1
187,3a0874cb,1358869524,36,13,6,5
188,383b49df,1358879952,36,13,6,5
189,194290e5,1358889292,36,14,7,5
190,c0298039,1358890632,36,14,7,5
191,989652fe,1358959403,36,14,7,5
192,fc232eb2,1358960579,36,14,7,5
193,637783ce,1359608720,36,14,7,5
194,72cdfed1,1359609002,36,14,7,5
195,5bfe7124,1359609025,36,14,7,5
196,4b7a4059,1359609512,36,14,7,5
197,49082196,1359610570,36,14,7,5
198,83de4eb5,1359611745,36,14,7,5
199,6f6d959f,1359663255,37,15,7,5
200,2d2ceffe,1359671088,37,15,7,5
201,2d45a132,1359671779,37,15,7,5
202,57cc0947,1359673087,37,15,7,5
203,045867ef,1359675466,37,15,7,5
204,85e70f17,1359675936,37,15,7,5
205,92fcceed,1359731219,37,15,7,5
206,2a319f7e,1359731644,37,15,7,5
207,c7751ee1,1359734438,37,15,7,5
208,3e445647,1359734837,37,15,7,5
209,7e7a3896,1359734992,37,15,7,5
210,2137b7a7,1359735460,37,15,7,5
211,a9311208,1359738049,1,1,1,1
212,fcd40ec7,1359748692,37,15,7,5
213,456801be,1359748811,37,15,7,5
214,2bcffdec,1359815056,37,15,7,6
215,232b6465,1359817739,37,15,7,6
216,c8cd2621,1360084484,38,15,7,6
217,b8b2aa5d,1360093017,38,15,7,6
218,b7b02997,1360858630,38,15,7,6
219,6b1e1b5c,1360860547,38,15,7,6
220,c4efcd93,1360874809,38,15,7,6
221,3846741d,1360875819,38,15,7,6
222,6fe24773,1361136232,38,15,7,6
223,6741a8f5,1361136327,38,15,7,6
224,38575673,1361179133,37,16,7,6
225,65ebcbde,1361255737,37,16,7,6
226,36c0a804,1361372721,37,16,7,6
227,4b7e0b73,1361380139,37,16,7,6
228,2aaf055b,1361434784,37,16,7,6
229,5a4c7c34,1361410006,37,16,7,6
230,1c5990e4,1361438368,37,16,7,6
231,91db9299,1361438401,37,16,7,6
232,220b5f9a,1361949442,37,16,7,6
233,f24072ec,1361984357,37,16,7,6
234,0665b628,1361988552,37,16,7,6
