commit,sha,time,cyclo,abstract,fanout,npath
1,0100fe62,1306810069,0,0,0,0
2,9d4ea187,1306810335,1,0,0,0
3,659e682e,1306811168,1,0,0,0
4,c6b118ed,1307562616,1,0,0,0
5,61655c19,1308006060,1,0,0,0
6,c67c6442,1308006349,1,0,0,0
7,62de0a10,1308006505,1,0,0,0
8,c23165a6,1310154406,1,0,0,0
9,f499f939,1310154531,1,0,0,0
10,ba3e79d1,1310165397,1,0,0,0
11,9a1e1a7b,1310195776,1,0,0,0
12,8e36f79f,1310411766,1,0,0,0
13,ef5d4752,1310420574,1,0,0,0
14,e0a7337c,1310429804,2,0,0,0
15,0ebb2320,1310431030,2,0,0,0
16,cf2a1157,1310433193,2,0,0,0
17,3753776c,1310433917,2,0,0,0
18,d3f7ce56,1310434465,2,0,0,0
19,8f20b3a4,1310437780,2,0,0,0
20,4d0c0e58,1310440140,2,0,0,0
21,db43d889,1310440233,2,0,0,0
22,b2a75eaa,1310450839,1,0,0,0
23,7796b9f6,1310500084,1,0,0,0
24,308b588f,1310511491,1,0,0,0
25,52bb9fbe,1310763266,1,0,0,0
26,d3f972f0,1310763335,1,0,0,0
27,aef8848c,1310763342,1,0,0,0
28,4041b857,1310763820,1,0,0,0
29,e9cef3b1,1311232099,1,0,0,0
30,f0ae2492,1313464221,1,0,0,0
31,d7c0e79e,1313570637,1,0,0,0
32,70829ceb,1313617364,1,0,0,0
33,ab8ecc45,1313623478,1,0,0,0
34,7bd855e3,1313624083,1,0,0,0
35,ce8003fe,1313624235,1,0,0,0
36,88915f3b,1313708664,1,0,0,0
37,1b5c17e9,1314047737,1,0,0,0
38,71d106ef,1314049074,1,0,0,0
39,74f082b0,1314128105,1,0,0,0
40,b57793fd,1314210518,1,0,0,0
41,d148c578,1314284019,1,0,0,0
42,88eb4997,1314284567,1,0,0,0
43,325a1762,1314284985,1,0,0,0
44,ecba720a,1314285120,1,0,0,0
45,4e65d126,1314566587,1,0,0,0
46,79dc5cd0,1314716006,1,0,0,0
47,7b0ee417,1314737829,1,0,0,0
48,39cf72d2,1314737901,1,0,0,0
49,c86f6140,1315429941,1,0,0,0
50,3aee108e,1315429969,1,0,0,0
51,a7088f4c,1316163121,1,0,0,0
52,1654d614,1316214744,1,0,0,0
53,fe06ce8f,1316986242,1,0,0,0
54,d74973b6,1317172775,1,0,0,0
55,4ea62cdf,1317173125,1,0,0,0
56,f4155507,1317575532,1,0,0,0
57,c935ef6a,1317575537,1,0,0,0
58,5dc88db7,1317582119,1,0,0,0
59,088dcee8,1318631511,1,0,0,0
60,9b1ee070,1318656659,1,0,0,0
61,4d1553b9,1318971424,1,0,0,0
62,fd9b055e,1318979863,1,0,0,0
63,81b67eb1,1318990475,1,0,0,0
64,78c167ac,1319084871,1,0,0,0
65,2aa09756,1319139674,1,0,0,0
66,4839d107,1319140596,1,0,0,0
67,f49fae88,1319573965,1,0,0,0
68,bdf9998e,1319651882,1,0,0,0
69,f4334727,1319855917,1,0,0,0
70,6157fc0e,1319857897,1,0,0,0
71,37e056ab,1322703411,1,0,0,0
72,f06b07bf,1322817046,1,0,0,0
73,1246bdf2,1323724068,1,0,0,0
74,f061b0ed,1326326208,1,0,0,0
75,2aab169c,1326326208,1,0,0,0
76,f0b48672,1326326466,1,0,0,0
77,ae60b5aa,1326326466,1,0,0,0
78,8d4a1586,1326326496,1,0,0,0
79,f23a7ffa,1326326496,1,0,0,0
80,2e15858e,1326326656,1,0,0,0
81,b273e738,1326326656,1,0,0,0
82,60d8601c,1326326694,1,0,0,0
83,5a3d10f4,1326326694,1,0,0,0
84,d709332e,1326326897,1,0,0,0
85,e6d726a3,1326326897,1,0,0,0
86,7cf7c373,1326327656,1,0,0,0
87,d26bfe42,1326327723,1,0,0,0
88,b6f22e03,1326327723,1,0,0,0
89,a44cd942,1326328184,1,0,0,0
90,b80a87b9,1326329331,1,0,0,0
91,0e121418,1326329331,1,0,0,0
92,ebc50ee0,1326330366,1,0,0,0
93,7f1fb102,1326330366,1,0,0,0
94,77bb7ade,1326334253,1,0,0,0
95,3550ad49,1326334253,1,0,0,0
96,9aace1ea,1326336972,1,0,0,0
97,694fb5ee,1326336972,1,0,0,0
98,037eaa31,1326337267,1,0,0,0
99,76ea6980,1326397829,1,0,0,0
100,f1bc4b50,1326403591,1,0,0,0
101,90ade7bd,1326403608,1,0,0,0
102,10704e7a,1326407008,1,0,0,0
103,92474b67,1326407066,1,0,0,0
104,bdac0f1e,1326410214,1,0,0,0
105,b8457248,1326410660,1,0,0,0
106,d697ed69,1326750710,1,0,0,0
107,dbbdea4c,1326751879,1,0,0,0
108,fb4f72cf,1326751934,1,0,0,0
109,b9a57f2e,1326872319,1,0,0,0
110,9271c8e2,1331063281,1,0,0,0
111,7ccd09ad,1331066594,1,0,0,0
112,1818b659,1331250894,1,0,0,0
113,58de16cf,1331344192,1,0,0,0
114,ac26ae46,1331496576,1,0,0,0
115,4b946594,1331538583,1,0,0,0
116,0d76ca9b,1331559703,1,0,0,0
117,62adb566,1331562542,1,0,0,0
118,34599ef5,1331636103,1,0,0,0
119,057e7fdb,1331641132,1,0,0,0
120,36c4c4c1,1332269321,1,0,0,0
121,b4f0b28a,1332399447,1,0,0,0
122,2f81c504,1332399685,1,0,0,0
123,27c1876f,1332399740,1,0,0,0
124,1373af26,1332412574,1,0,0,0
125,ab0e6749,1332450499,1,0,0,0
126,90415e86,1332743544,1,0,0,0
127,1b4de9ab,1332743812,1,0,0,0
128,4a8e93b2,1332745070,1,0,0,0
129,6a088df7,1332749816,1,0,0,0
130,1b4ddd6e,1332750511,1,0,0,0
131,13b7464c,1332775803,1,0,0,0
132,bca52a7f,1332830536,1,0,0,0
133,6f064dd4,1332831746,1,0,0,0
134,8e0d67ae,1332918099,1,0,0,0
135,6288c594,1332961860,1,0,0,0
136,71aead64,1332962668,1,0,0,0
137,f7c8b6a6,1332964346,1,0,0,0
138,90609f2f,1332964796,1,0,0,0
139,550883a5,1332990312,1,0,0,0
140,45ec4a8a,1332990329,1,0,0,0
141,51a3f563,1332993170,1,0,0,0
142,17e68fe3,1332995393,1,0,0,0
143,1c8f97f9,1333010711,1,0,0,0
144,6a1b7319,1337667845,1,0,0,0
145,be7cc8d3,1339350033,1,0,0,0
146,1e921ab4,1339711709,1,0,0,0
147,ed92a8a9,1340128050,1,0,0,0
148,104c6d03,1340241383,1,0,0,0
149,d5180566,1340996903,1,0,0,0
150,f4d6b3cb,1341001492,1,0,0,0
151,5188084b,1345720581,1,0,0,0
152,b869e4de,1345818540,1,0,0,0
153,2df0df84,1345818540,1,0,0,0
154,6c14ec7b,1345819017,1,0,0,0
155,2bceb2b2,1345819017,1,0,0,0
156,c349d9c3,1345819106,1,0,0,0
157,2556efc3,1345819106,1,0,0,0
158,799b86b5,1345819239,1,0,0,0
159,c9911cab,1345819239,1,0,0,0
160,82a06e5e,1349472501,1,0,0,0
161,1878d063,1349472533,1,0,0,0
162,430bb014,1349472908,1,0,0,0
163,231d6fc0,1349473011,1,0,0,0
164,56f85894,1349486228,1,0,0,0
165,c414a03e,1350065447,1,0,0,0
166,ad9a2221,1350065959,1,0,0,0
167,920e030f,1350071958,1,0,0,0
168,889fe003,1350075329,1,0,0,0
169,7204c5ac,1350433082,1,0,0,0
170,7a1e558a,1351014468,1,0,0,0
171,457176a5,1351014617,1,0,0,0
172,f53e36a9,1351550495,1,0,0,0
173,881585f6,1351811591,1,1,0,1
174,6829ba16,1351888099,1,0,0,0
175,66ffd556,1353154370,1,0,0,0
176,40d2d71c,1353350106,1,0,0,0
177,b217780d,1353525553,1,1,1,1
178,fddbd12c,1355533681,1,1,1,1
179,8743e640,1359591354,1,1,1,1
180,daf6c36a,1360796226,0,0,0,0
181,4993bdfe,1360871213,1,1,1,1
182,28307538,1361408018,1,1,1,1
183,075e7451,1361408595,1,1,1,1
184,88097bf9,1361480507,1,1,1,1
185,3b8d9778,1361570699,1,1,1,1
186,5db2e8ce,1362544801,1,1,1,1
187,5c3d52bd,1362546027,1,1,1,1
188,85b63beb,1363908795,1,1,1,1
189,34f9b855,1363913122,1,1,1,1
190,0ce5a4f4,1363987461,1,1,1,1
191,ecb32458,1363987781,5,4,2,1
192,019e2a69,1363995969,5,4,2,1
193,83d41c1b,1364074565,5,4,2,1
194,20a4d26c,1364074708,5,4,2,1
195,d5a577f8,1364225222,5,4,2,1
196,3052b33f,1364428327,5,4,2,1
197,70bff920,1364428386,5,4,2,1
198,dff8d674,1364941216,5,4,2,1
199,a0eb50ff,1364946741,5,4,2,1
200,4b149ed4,1364970316,5,4,2,1
201,0dffe6f0,1365033231,5,4,2,1
202,0eb47cdb,1365033250,5,4,2,1
203,e139a5bf,1365555679,5,4,2,1
204,afec3d21,1366327928,5,4,2,1
205,155a6bf5,1369905538,5,4,2,1
206,8c89e604,1369905616,5,4,2,1
207,154ba218,1369916051,5,4,2,1
208,097780cc,1370243499,5,4,2,1
209,21dbca88,1370578060,5,4,2,0
210,27033dc4,1371242896,5,4,2,0
211,1a668cf5,1371243083,5,4,2,0
212,10595d2d,1371250293,5,4,2,0
213,937f147e,1371410676,5,4,2,0
214,1ac1e883,1371517656,5,3,1,0
215,2355cb66,1371841559,5,3,1,0
216,9dae24bd,1372198008,5,3,1,0
217,c6f3498c,1372281864,5,3,1,0
218,fdc8c466,1373325445,5,3,1,0
219,9f673b8a,1374709299,5,3,1,0
220,075ae3fc,1374791931,5,3,1,0
221,dfa9d96e,1375135677,5,3,1,0
222,11d02bf6,1376061972,5,3,1,0
223,7f6942d7,1376071620,5,3,1,0
224,f2abb06a,1377011943,5,3,1,0
225,5bfe0738,1377026868,5,3,1,0
226,e6d39a86,1377597859,5,3,1,0
227,0a057d24,1377625494,5,3,1,0
228,8dcafdac,1379892530,5,3,1,0
229,bd336ea6,1379898355,5,4,2,0
230,7d45c05d,1379898719,5,4,2,0
231,1b138021,1379900077,5,4,2,0
232,962eb0a1,1382129183,5,3,1,0
233,b85a188b,1387582027,5,3,1,0
234,7e4a62c5,1389947254,5,3,1,0
235,6e2cac93,1390312749,5,3,1,0
236,c8b95891,1391062117,5,3,1,0
237,67e81e18,1391068943,5,3,1,0
238,613c1e43,1391102184,5,3,1,0
239,ee6c32d0,1391421060,53,16,17,3
240,47ffd187,1391569690,53,16,17,3
241,e2832301,1394009818,5,3,1,0
242,03b12b66,1394617833,53,16,17,3
243,c4e97efc,1394618020,53,16,17,3
244,6a8dfbd3,1395641545,53,16,17,3
245,c7d9ed11,1395804066,53,16,17,3
246,fcc49533,1395806527,53,16,17,3
247,04f0018d,1396028132,53,16,17,3
248,6de568e3,1396282681,53,16,17,3
249,e3f42a33,1396285836,53,16,17,3
250,a65c072c,1396322489,53,16,17,3
251,7c6f2fee,1396329210,53,16,17,3
252,fa9b7e6d,1396329601,53,16,17,3
253,99fd9038,1396329708,53,16,17,3
254,9420d5a2,1396447189,53,16,17,4
255,c0511274,1396449281,53,16,17,4
256,308522f7,1396449385,53,16,17,4
257,a28202dd,1396450435,53,16,17,4
258,cc9044f6,1396450557,53,16,17,4
259,a7ac9ae1,1396454213,53,16,17,3
260,8a544704,1396455090,58,16,17,6
261,c810e7a8,1396455195,53,16,17,4
262,0197c2cb,1396455307,58,16,17,6
263,536825a0,1396455470,58,16,17,6
264,c64edebb,1396456101,58,16,17,6
265,54874c22,1396456510,58,16,17,6
