commit,sha,time,cyclo,abstract,fanout,npath
1,17886a10,1283812214,0,0,0,0
2,0404ce4a,1286823617,0,1,0,0
3,cd88b195,1286827352,0,1,0,0
4,8219befc,1286831856,0,1,0,0
5,e0b33872,1286847268,0,1,0,0
6,fb98822a,1286998844,0,1,0,0
7,ad96fb93,1287002219,0,1,0,0
8,42dba217,1287007073,2,2,1,0
9,fc89b1ad,1287007092,2,2,1,0
10,3679d90d,1288044779,2,2,1,0
11,84665377,1288047477,2,2,1,0
12,11da2563,1288310874,2,2,1,0
13,44e798e2,1288903333,2,2,1,0
14,e14a77a4,1289261419,2,2,1,0
15,57a57d2c,1290553752,2,2,1,0
16,1eab56aa,1290554596,2,2,1,0
17,ab26b8b0,1291602460,2,2,1,0
18,128ffb7c,1291639065,2,2,1,0
19,e32d8b2a,1291640758,2,2,1,0
20,8cd9bde3,1291733098,2,2,1,0
21,63e66c67,1291734398,2,2,1,0
22,1804848,1291734566,2,2,1,0
23,9259e3ad,1292184885,2,2,1,0
24,cd2285b4,1292195186,2,2,1,0
25,ab2cf4a5,1295546961,2,2,1,0
26,00a2db87,1295549093,1,2,1,0
27,97ad14dc,1295551858,1,2,1,0
28,fe0d2bbf,1295589316,1,1,0,0
29,845efaa1,1298320763,1,1,0,0
30,320d18e7,1301604470,1,1,0,0
31,b535f099,1302013455,1,1,0,0
32,2e35fda8,1303229942,1,2,0,0
33,331d1f6d,1303234906,1,2,0,0
34,bb0ab4c9,1303237445,1,3,1,0
35,e6a1aa83,1303260797,1,3,1,0
36,26d74c38,1303415843,1,1,0,0
37,f093fc07,1303848761,1,1,0,0
38,949c73e4,1303852807,1,1,0,0
39,352bdcb4,1303856892,1,1,0,0
40,a67ba2b2,1303856909,1,1,0,0
41,9e61b687,1303945359,1,1,0,0
42,759d454e,1304548652,1,3,1,0
43,84b9b605,1304559953,1,3,1,0
44,ef8a2442,1304609629,1,3,1,0
45,9c195d37,1304708317,1,3,1,0
46,289f3bc7,1304717216,1,3,1,0
47,325ece29,1307322287,1,3,1,0
48,3d90eb78,1307324566,1,3,1,0
49,0ffc0279,1307375422,1,1,0,0
50,87fda275,1307375613,1,3,1,0
51,44654cc4,1314323152,1,3,1,0
52,826721c6,1314366046,1,3,1,0
53,f07fcbcb,1314906522,1,3,1,0
54,ffab8145,1314907341,1,3,1,0
55,2fbdfadb,1314989839,1,3,1,0
56,bcab3a2c,1314990965,1,3,1,0
57,8143ef64,1314991015,1,3,1,0
58,501ba19f,1315843348,1,3,1,0
59,66efefba,1315869387,1,3,1,0
60,a60086b6,1320856682,1,3,1,0
61,62d56c26,1320858530,1,3,1,0
62,b7521f86,1321990436,1,3,1,0
63,08396f35,1322011624,1,3,1,0
64,a1cee2eb,1322257401,4,3,2,0
65,4f318d2d,1322622268,4,3,2,0
66,b40e91c8,1323478709,4,4,2,0
67,975b9395,1323816306,4,4,2,0
68,9fcb0d28,1323816436,4,4,2,0
69,5ea679fb,1323987219,4,4,2,0
70,8ed51663,1323998832,4,4,2,0
71,8fbbb789,1324001091,4,4,2,0
72,a258d064,1324078507,4,4,2,0
73,bfc1fae0,1324081234,4,4,2,0
74,cce96401,1326313264,4,4,2,0
75,4e03e832,1326314195,4,4,2,0
76,e1dbe6c5,1326319019,4,4,2,0
77,bb6d3c68,1326467439,4,4,2,0
78,1fc51e47,1328308681,4,4,2,0
79,eebc18ca,1328308993,4,4,2,0
80,f78f2fdb,1328744532,4,4,2,0
81,f8c1cbd3,1328819412,4,4,2,0
82,5cadd336,1329528288,4,4,2,0
83,bccb05d6,1329531315,4,4,2,0
84,c9f5ec07,1332737474,4,4,2,0
85,eddf4014,1332768083,4,4,2,0
86,25f99c7b,1332768685,4,4,2,0
87,b0241b3d,1332769089,4,4,2,0
88,d8fab22a,1334019224,4,4,2,0
89,27e1a9a9,1334100349,4,4,2,0
90,dddaf137,1334101096,4,4,2,0
91,2e5d69bf,1334101195,4,4,2,0
92,30fabb8e,1334103714,4,4,2,0
93,6ffeccff,1334192952,4,4,2,0
94,23eec0b8,1334294287,4,4,2,0
95,c6c9e07e,1335908341,4,4,2,0
96,4571530,1335908363,4,4,2,0
97,06a3dfcf,1335910322,4,4,2,0
98,82b27f3f,1337295320,4,4,2,0
99,44e7c9c6,1337298133,4,4,2,0
100,704f59d9,1337362036,4,4,2,0
101,33f82894,1337364182,4,4,2,0
102,5bbf120b,1337364216,4,4,2,0
103,e278a72a,1337692425,4,4,2,0
104,28ed543a,1337721789,4,4,2,0
105,4575f635,1337723773,4,4,2,0
106,a673f076,1337778820,4,4,2,0
107,4024ffe6,1338501002,4,4,2,0
108,c4724b83,1338502144,4,4,2,0
109,28fb5a4c,1338838317,4,4,2,0
110,33c3d4b1,1338840030,4,4,2,0
111,f3158436,1338840288,4,4,2,0
112,dd0d2c8b,1338840520,4,4,2,0
113,9d6ae77c,1339615739,4,4,2,0
114,eee72f00,1339615817,4,4,2,0
115,f8c09adc,1339615855,4,4,2,0
116,539a96a1,1339618285,4,4,2,0
117,b6748ac8,1339981343,4,4,2,0
118,039eaa60,1340143009,4,4,3,0
119,a3300c68,1340203645,4,4,2,0
120,2e0be861,1340204914,4,4,2,0
121,9f6130d8,1340302365,4,4,3,0
122,a5fb20d5,1340385868,4,4,3,0
123,f8c650be,1340386200,4,4,3,0
124,8232a1fc,1340396079,4,4,3,0
125,e0c5db97,1340396755,4,4,3,0
126,5fe92079,1340909455,4,4,3,0
127,7274cdef,1340909731,4,4,3,0
128,838711b4,1340912099,4,4,3,0
129,35b72575,1340912099,4,4,3,0
130,d0102f27,1340916157,4,4,3,0
131,4397ba36,1340916669,4,4,3,0
132,f4765d02,1340919175,4,4,3,0
133,4cbec885,1342546241,4,4,3,0
134,14b98e56,1342546312,4,4,3,0
135,bc3bc515,1342636941,4,4,3,0
136,961e513f,1342639207,4,4,3,0
137,9c5458cd,1344462373,4,4,3,0
138,69243b67,1344462410,4,4,3,0
139,3b5a7958,1344875692,4,4,3,0
140,db6ea859,1344875905,4,4,3,0
