commit,sha,time,cyclo,abstract,fanout,npath
1,4ed1fc08,1250993233,2,0,0,0
2,0fb94b2c,1250994603,2,0,0,0
3,dada3915,1251739149,2,0,0,0
4,1007ced6,1251760324,2,0,0,0
5,b2cf541e,1251761358,2,0,0,0
6,ed81861f,1251766745,2,0,0,0
7,26d3adb2,1252008649,2,0,0,0
8,5951ce38,1253048616,2,0,0,0
9,d777fe57,1253915345,2,0,0,0
10,2c5f61f3,1255720326,2,0,0,0
11,eea1efd4,1255737339,2,0,0,0
12,757373bc,1256232618,2,0,0,0
13,33e1055d,1256232947,2,0,0,0
14,1a8bfa40,1256233884,2,0,0,0
15,c65c43f2,1256233992,2,0,0,0
16,59e74f7e,1256333812,2,0,0,0
17,6460b48f,1256333842,2,0,0,0
18,bfcae879,1256360055,2,0,0,0
19,e1e49e8b,1256574637,2,0,0,0
20,09a04ead,1256574647,2,0,0,0
21,007870f6,1256574734,2,0,0,0
22,2d93c5d5,1256578275,2,0,0,0
23,b047e74d,1256663155,2,0,0,0
24,5c00c3a5,1256669573,2,0,0,0
25,9e251a24,1257495002,2,0,0,0
26,cef14829,1257503921,2,0,0,0
27,b9906ac9,1257507203,2,0,0,0
28,ed2223da,1258085181,2,0,0,0
29,3ee28ca0,1258162495,2,0,0,0
30,24268466,1258162915,2,0,0,0
31,fff25286,1258163429,2,0,0,0
32,16cf8d2e,1258163468,2,0,0,0
33,adc43ad4,1258164268,2,0,0,0
34,5575263e,1258164677,2,0,0,0
35,e93cd119,1258336665,2,0,0,0
36,f8f225c6,1258336731,2,0,0,0
37,60c376a8,1258337163,2,0,0,0
38,d6c9660e,1258337216,2,0,0,0
39,46a142c6,1258337678,2,0,0,0
40,c95f7e13,1258337863,2,0,0,0
41,1b537cde,1258737854,2,0,0,0
42,60b943d0,1258766819,2,0,0,0
43,0968839c,1258768427,2,0,0,0
44,115c1a29,1258772012,2,0,0,0
45,0220ed7c,1258789150,2,0,0,0
46,96409306,1258825667,2,0,0,0
47,9602d484,1258919998,2,0,0,0
48,6b2e23f4,1258920098,2,0,0,0
49,9ff597af,1258926938,2,0,0,0
50,c4d5cf3c,1258927355,2,0,0,0
51,7a4ddcda,1258927549,2,0,0,0
52,b1b53edf,1258928144,2,0,0,0
53,f06537f6,1258928339,2,0,0,0
54,f1f88b2d,1258939675,2,0,0,0
55,f8140df7,1258940074,2,0,0,0
56,b026a685,1258971992,2,0,0,0
57,3267c182,1258973639,2,0,0,0
58,ada3998e,1258974587,2,0,0,0
59,797f4de9,1258995213,2,0,0,0
60,b30979f7,1258996102,2,0,0,0
61,0b52370d,1258999897,2,0,0,0
62,bc7a91ad,1259070252,2,0,0,0
63,fc2945f5,1259070299,2,0,0,0
64,98a72f69,1259070388,2,0,0,0
65,b507dd03,1259071971,2,0,0,0
66,f5690911,1259072011,2,0,0,0
67,32e09b44,1259072676,2,0,0,0
68,76dbddd8,1259073666,2,0,0,0
69,a21ebdb0,1259081685,2,0,0,0
70,1a635ea5,1259140158,2,0,0,0
71,6757e825,1259156666,2,0,0,0
72,11f06925,1259188237,2,0,0,0
73,54a59d36,1259189530,2,0,0,0
74,c4912aa4,1259189609,2,0,0,0
75,438826fa,1259189861,2,0,0,0
76,a91d5125,1259189971,2,0,0,0
77,a94dde87,1259200604,2,0,0,0
78,6f49223d,1259200713,2,0,0,0
79,d8b4799b,1259201743,2,0,0,0
80,aac13064,1259242369,2,0,0,0
81,ec2a7353,1259242442,2,0,0,0
82,ee1fe762,1259242601,2,0,0,0
83,1cbd23ce,1259247073,2,0,0,0
84,a656431e,1259247776,2,0,0,0
85,3f3f9da5,1259254710,2,0,0,0
86,57b1a8c4,1259315076,2,0,0,0
87,6fd51654,1259317255,2,0,0,0
88,fe92fcbd,1259319888,2,0,0,0
89,e4bb2394,1259349602,2,0,0,0
90,e880b71c,1259350263,2,0,0,0
91,ab989a2f,1259350280,2,0,0,0
92,d392095c,1259350291,2,0,0,0
93,c42811b8,1259351519,2,0,0,0
94,8d072deb,1259352524,2,0,0,0
95,912acad2,1259352706,2,0,0,0
96,6c75c1fb,1259352838,2,0,0,0
97,cbcfed71,1259354254,2,0,0,0
98,835cc1c7,1259356133,2,0,0,0
99,61c8b55a,1259366112,2,0,0,0
100,44dd1798,1259367694,2,0,0,0
101,76d3a890,1259368156,2,0,0,0
102,e18d208b,1259623959,2,0,0,0
103,4fc57ed1,1259627618,2,0,0,0
104,17bf8e9d,1259628994,2,0,0,0
105,99a89dde,1260357324,2,0,0,0
106,d3d91798,1260365194,2,0,0,0
107,232c1896,1260365918,2,0,0,0
108,c10eb5af,1260367328,2,0,0,0
109,b5b65040,1260370127,2,0,0,0
110,22d05fb7,1260433425,2,0,0,0
