commit,sha,time,cyclo,abstract,fanout,npath
1,ec72ca8b,1265635347,0,0,0,0
2,b3337c31,1265635806,194,45,37,36
3,7004a9e5,1265636183,194,45,37,36
4,78c22058,1265720951,194,45,37,36
5,bd2b0a63,1265746726,195,45,37,36
6,b61964a2,1265839952,195,46,38,36
7,847db717,1265909365,195,47,39,36
8,ade36f02,1265920451,195,47,41,36
9,bc217d99,1265978948,195,47,41,36
10,9e8b5e50,1265980846,195,47,41,36
11,8f1023cb,1265983936,195,47,41,36
12,78eaaccc,1265990954,195,47,41,36
13,1d732dfc,1266005247,195,47,41,36
14,c92b3422,1266008070,195,47,41,36
15,14f2445e,1266084217,195,47,41,36
16,5ac51ee9,1266097477,195,47,41,36
17,604c407e,1266106834,197,47,41,36
18,c31d29b7,1266108205,197,47,41,36
19,7631b138,1266146979,196,47,41,36
20,cfafb52b,1266172405,196,47,41,36
21,b5f3fc9a,1266175754,196,47,41,36
22,9a9ce993,1266222233,196,47,41,36
23,e768f67f,1266222459,196,47,41,36
24,687d7955,1266246949,196,47,41,36
25,9633108a,1266269753,196,47,41,36
26,66b86a7a,1266270911,197,47,41,36
27,854fc21a,1266308194,197,47,41,36
28,06cbc0a9,1266308327,197,47,41,36
29,5d781961,1266349676,200,49,44,37
30,1299f203,1266350184,200,49,44,37
31,042d7107,1266391686,200,49,44,37
32,87278153,1266404962,200,49,44,37
33,05454238,1266423592,199,49,44,37
34,ffbc2a9d,1266424612,199,49,44,37
35,8a5a44c1,1266428986,199,49,44,38
36,77815678,1266444519,199,49,44,38
37,f135a93b,1266451815,199,49,44,38
38,30ff15e3,1266480250,199,49,44,38
39,23cfdeea,1266480272,199,49,44,38
40,72599ad0,1266494174,199,49,44,38
41,e195ec62,1266527345,199,49,44,38
42,f7d15282,1266527470,199,49,44,38
43,82e69691,1266528068,207,50,45,40
44,c631cae0,1266528218,207,50,45,40
45,2a3fcce8,1266529154,207,50,45,40
46,bfc5ad7b,1266566102,207,50,45,40
47,e6b5ec7a,1266622937,206,50,45,40
48,4806df42,1266623450,207,50,45,40
49,3f045dee,1266624786,207,50,45,40
50,1aa8e011,1266626906,208,50,45,40
51,21a1021b,1266629682,208,50,45,40
52,fa54b7c8,1266631587,208,50,45,40
53,008b00f5,1266672062,208,50,45,40
54,f94ff19f,1266674058,208,50,45,40
55,a8281065,1266680126,208,50,45,40
56,2e817302,1266685124,208,50,45,41
57,82e5b7d1,1266705294,209,51,45,41
58,ce58723c,1266740891,209,51,46,41
59,22018390,1266755074,209,51,47,41
60,0e55c876,1266763782,209,51,47,41
61,78e73259,1266765975,209,51,47,41
62,6d52065d,1266785859,209,50,47,42
63,8c16840f,1266788268,210,50,47,42
64,16a7dd13,1266789932,210,50,47,42
65,0f5ff617,1266794346,210,50,48,42
66,7cda7eca,1266795217,210,50,48,42
67,38edf962,1266796109,210,50,48,42
68,b05b01d9,1266796258,210,50,48,42
69,086611ce,1266821300,210,50,48,42
70,98c981d0,1266821507,210,50,48,42
71,3d9b310c,1266821736,210,50,48,42
72,575250e2,1266823568,210,51,48,42
73,67d86de7,1266862113,212,50,48,42
74,d36f376a,1266867251,212,50,48,42
75,3f033a04,1266872638,212,50,48,42
76,8adcbb28,1266873525,212,50,48,42
77,c111e1ab,1266943222,213,50,49,42
78,defb6a33,1266952960,213,50,49,42
79,46ff97af,1266953410,213,50,49,42
80,4cf1b3ed,1266953634,213,50,49,42
81,07d41667,1266955450,213,50,49,42
82,54f325ee,1266956172,213,50,49,42
83,b5544769,1266959762,213,50,48,42
84,d1a4989e,1266961053,213,50,48,42
85,aa54e9cc,1266964343,213,50,48,42
86,78d9ab10,1266964625,213,50,48,42
87,97814e10,1266968616,213,50,48,42
88,eb3f8b2f,1267028079,213,50,48,42
89,bcc52a01,1267037115,213,50,48,42
90,c7389df8,1267041603,213,50,48,43
91,e3af8716,1267044324,213,50,48,43
92,da510f28,1267046161,217,50,48,45
93,9eaa50ce,1267080397,217,50,48,45
94,f5a4296b,1267081432,217,50,48,45
95,70726b26,1267116029,218,50,49,45
96,3ef36737,1267116355,218,50,49,45
97,a8af609e,1267122054,218,50,49,45
98,e70bec79,1267126481,218,50,49,45
99,0ebb74dd,1267147724,222,50,49,47
100,ba0972cd,1267178354,222,50,49,47
101,e0c3bb58,1267188258,222,50,49,47
102,1ec1716a,1267190918,222,50,49,48
103,284a3513,1267224733,221,50,50,48
104,929bb3f2,1267226816,219,50,50,47
105,c30d7906,1267227434,219,50,50,47
106,8b36281d,1267235856,224,50,50,49
